genotype,dtf,height_cm,plants_m2,thousand_seed_weight_g,protein_pct,fat_pct,panicle_length_cm,pedicel_length_cm
Fm322,139.00000000000162,103.33333333332796,64.00000000000888,2.346287769553654,15.351224581400414,2.968221691597836,14.666666666666618,0.9999999999998841
Fm324,105.66666666666828,141.33333333332794,36.00000000000889,2.625523174369285,14.253714561462262,3.8935590979297507,12.166666666666615,9.166666666666552
Fm325,115.00000000000159,130.33333333332794,72.00000000000885,2.1824271146831573,13.10680421193427,4.0939815089494305,15.49999999999995,4.333333333333217
Fm328,111.33333333333495,130.9999999999946,52.000000000008875,2.556152172435648,14.468915939330914,4.497645003604759,12.999999999999948,3.6666666666665497
Fm332,123.0000000000016,110.33333333332791,44.000000000008846,,15.0891059239704,4.030439542089454,11.666666666666613,2.8333333333332154
Fm334,139.6666666666683,119.99999999999457,52.000000000008825,,,,12.833333333333282,0.8333333333332166
Fm336,100.66666666666826,126.66666666666126,50.0000000000088,2.3562058405923145,,,11.83333333333328,6.999999999999888
Fm337,108.66666666666828,112.3333333333279,36.000000000008775,2.751897199748848,13.189461708068709,4.3006980108637345,14.166666666666618,4.499999999999885
Fm341,114.0000000000016,117.66666666666126,36.000000000008725,2.542686449760865,15.088761011759306,3.9632035565046118,12.33333333333328,2.6666666666665515
Fm343,125.66666666666828,139.9999999999946,55.33333333334204,2.309955656840031,13.76716581980374,,10.833333333333279,3.499999999999886
Fm344,120.0000000000016,110.3333333333279,40.0000000000087,2.3066453455516753,16.48810164133694,4.119466424081226,13.49999999999995,4.333333333333219
Fm345,114.0000000000016,126.3333333333279,64.00000000000865,2.8791059583627474,,3.958870342190616,19.166666666666615,5.499999999999886
Fm346,121.33333333333495,93.99999999999454,12.000000000008663,2.95770022899092,,,,
Fm347,106.33333333333493,135.3333333333279,88.00000000000861,2.5022775847990943,10.512955983479682,3.24775040330729,14.499999999999948,7.499999999999888
Fm349,119.66666666666826,120.66666666666123,56.00000000000863,2.488444972555538,12.497230211893584,2.7397617193984822,15.49999999999995,1.4999999999998859
Fm351,117.0000000000016,132.33333333332791,84.00000000000864,2.5137746746274234,15.205609321594103,4.165173573070212,13.83333333333328,1.9999999999998872
Fm352,108.33333333333493,144.66666666666123,24.00000000000865,3.0093492143961798,15.103057861327994,3.8957941501684807,11.83333333333328,3.666666666666555
Fm354,108.66666666666828,126.99999999999453,62.00000000000861,2.599953156866929,11.393779118855658,3.606834643483766,18.666666666666618,3.1666666666665533
Fm355,110.00000000000162,123.99999999999451,52.00000000000862,2.5130941033058467,13.567890803019075,3.485704115364365,13.166666666666616,3.999999999999888
Fm356,115.66666666666826,121.66666666666117,72.00000000000861,2.517296614777527,14.6723709106444,3.3365580178846233,15.333333333333282,2.9999999999998876
Fm357,107.33333333333495,125.66666666666117,84.00000000000864,2.2075013861810753,15.711560567219921,4.158331782627778,10.833333333333279,7.333333333333224
Fm358,130.66666666666828,127.66666666666116,88.00000000000867,2.3571321566542967,15.977554639180367,3.515220585821763,11.33333333333328,4.833333333333221
Fm359,120.66666666666828,135.33333333332783,96.00000000000871,2.2322804533238543,15.793440500895054,3.532566312422015,14.333333333333282,4.999999999999888
Fm36,134.6666666666683,136.99999999999446,76.00000000000874,2.187475825817468,17.96776580810534,,10.666666666666611,2.166666666666553
